days_in_crisis,energy_crisis_1970,oil_crisis_1973,early_1980s_recession,black_monday,dot_com_bubble,financial_crisis_2007,corona_2020
-12,-0.003402437237041478,-0.028918487520412595,0.004949480079640245,0.009002209663603211,0.014589395197229349,0.0015131149644449504,-0.00638215416823229
-11,-0.0045571716481270785,-0.02842611922893068,-0.05545320448411817,0.020569777231170816,0.009736708888737233,0.00490524522224689,-0.005487185172515452
-10,0.002323562296827175,-0.019635446748653584,-0.028514428973914097,0.04225142715184771,0.010775490052172154,-0.004683795873643426,0.004512181956147221
-9,2.471172211460093e-05,-0.019147641870604692,-0.05190624183941117,0.04362447320169982,0.014054178576762277,-0.006742821268290067,0.0006367054631358782
-8,0.002318289703766019,-0.019879884975315454,-0.018007936754665388,0.03596163795265783,0.01903357418115781,0.0017634733897569088,0.0002871551119966176
-7,0.002318289703766019,-0.013573797175169933,-0.013988644150163765,0.0336147209481773,0.01662393562694109,-0.0023362874575270087,0.0033284983719363836
-6,0.002318289703766019,-0.0016571515266750048,-0.029498848231796382,0.023703063977696837,0.015762609184219345,0.01280503151959278,0.007084337281165087
-5,1.943912905344458e-05,-0.0023765759871066106,-0.030724839241195623,0.017196883105868532,0.017138834885234266,0.012131630846192176,0.0010833847490170356
-4,-0.002746812599853876,-0.004780422140952867,-0.019012399822778803,0.01741370877802806,0.010558748305147803,-0.003600243298814587,-0.009440566866473876
-3,0.00229905895977911,-0.001187607769695398,-0.001942133844215932,0.022161227120712557,0.011942113340596472,-0.004627288831166587,-0.012691709594858658
-2,0.00275756423258966,0.0023923444976077235,-0.0007526017268487672,0.020215281174766675,0.005677975529564727,-0.01117449765266898,-0.006294984717995611
-1,0.0004597701149426925,0.0023923444976077235,0.005942947702060275,0.01478049856607111,-0.00647419072615929,0.004429301533219743,-0.00034960589880494997
0,,,,,,,
1,0.0,0.003072196620583778,-0.023375594294770208,0.009265387160820593,-0.0020997375328084544,0.003066439522998232,-0.0017162471395881784
2,0.0,-0.0030533776520041966,-0.012422247438786505,0.006751725958634824,0.0071936168420820845,0.010199591696911314,-0.006046078403516786
3,0.0,0.0023395345205688978,-0.017644747219435097,0.006203900824417685,-0.003404020406006958,0.020654903669929947,0.0012123471256766383
4,0.0,4.068394585621249e-05,0.006961949029052117,0.004888399837791879,-0.003052835155787359,0.021322460412253053,0.005243965169548392
5,0.0,0.000808733101002268,-0.005636476167798277,0.013669958564465845,-0.005510268892842118,0.033797443734467914,0.010589503913468579
6,-0.0018390804597701038,-0.0014936460240937421,-0.005237752084863656,0.010405540718981587,-0.017827706865743753,0.031030098409304818,0.0196155126564318
7,-0.0011481546191436376,-0.001032107562555229,0.0015378557270135929,0.009532178273566783,-0.02103454812710126,0.038628380536823714,0.02884129497783816
8,-0.0011481546191436376,0.0008131946056748607,-0.02142334775675525,0.012045290161678657,-0.03533302891351775,0.04079231496305313,0.04385055995621989
9,2.5933670473321513e-06,4.5734897309412936e-05,-0.02101816137101775,0.0003831648210791405,-0.03170655565875802,0.039287374833497424,0.06110243119093062
10,-0.0004571767478952493,4.5734897309412936e-05,-0.04248434201095297,0.0011551101232406547,-0.02899652855848711,0.02388763695669538,0.04833061890965151
11,-0.003907038753415026,-0.006866707499003755,-0.0838750704877742,0.021761170729301393,-0.03133887090082932,0.03320544061726105,0.0389989822375314
12,-0.006214908589556312,-0.01846763557324982,-0.1201445005395877,0.023056787226818032,-0.01526518478921668,0.03221632093377935,0.049458337549782794
13,-0.019201898564149555,-0.009077964211747558,-0.11163195573672036,0.025321182309845924,-0.022197285749046003,0.04541764106579249,0.02394380970474641
14,-0.028107452817723533,0.0017747489665471683,-0.08275590065009208,0.008499956900121508,-0.019333494805785056,0.060596794160254985,0.017607815668035043
15,-0.03307316575222341,0.0017747489665471683,-0.11384398355164649,0.0114543282755456,-0.011837510511656824,0.0725970508502376,0.027516233134355694
16,-0.044480009858687164,-0.002059606861673724,-0.0879972812343559,0.015600084330531394,-0.010951770919096937,0.06593883905569098,0.04382697284342396
17,-0.06803770216637961,0.006423701123830949,-0.09147252015703189,0.01483954543439936,-0.01838539923768112,0.07391841135061594,0.05463794826748836
18,-0.052528100984695625,0.0033702660093271053,-0.08885700141248098,0.005488670148980135,-0.014819065428836597,0.0748683796850047,0.06912939198886714
19,-0.02707355553015023,0.01531513584087385,-0.05450917532552446,0.012622903493289317,-0.012686869266789524,0.08277726927690598,0.06250687543257571
20,-0.048350151274831,0.014104482087847203,-0.04147849016369176,0.011751063911772275,-0.013573394089484547,0.09313508471946719,0.052462032383248425
21,-0.04593469233763292,0.02319539117875624,-0.056001311740455195,0.016332215744233047,-0.015880403849910407,0.11519162401738581,0.051284282790931
22,-0.04352505378341598,0.027699895683260922,-0.06273815384571835,0.018938078936415415,-0.01499104063397294,0.1297812896708812,0.0010650840003036954
23,-0.06275582301418536,0.038163273859643465,-0.04959699233660442,0.013306716579906896,-0.020322478345009,0.13769021717237906,-0.0039645206345725326
